,Tweet Created At,Tweet Text,Tweet Link,code_clasif,class,lecture_name,date,hour,classroom
801,2019-05-10 07:16:20,ECMU Bisnis Ekonomi Indonesia dosen Shalahudin Haikal kuliah pengganti akan diberikan hari Selasa 14/5 jam 16.00 R. A.209,twitter.com/i/web/status/1126747785737277440,ECMU,Bisnis Ekonomi Indonesia,Shalahudin Haikal,Selasa 14/5,16.00,A.209
802,2019-05-10 07:12:15,ECIE Ekonomi Pembangunan Islam dosen Jossy P. Moeis kuliah pengganti akan diberikan hari Rabu 15/5 jam 08.00 R. B.109,twitter.com/i/web/status/1126746756044058627,ECIE,Ekonomi Pembangunan Islam,Jossy P. Moeis,Rabu 15/5,08.00,B.109
803,2019-05-10 07:10:28,ECMU Manajemen Operasi dosen Rizqiah Insanita kuliah pengganti akan diberikan hari Senin 13/5 jam 08.00 R. A.205,twitter.com/i/web/status/1126746309652647937,ECMU,Manajemen Operasi,Rizqiah Insanita,Senin 13/5,08.00,A.205
804,2019-05-10 06:15:52,ECMU Manajemen Treasuri dosen Maria Ulpa kuliah pengganti akan diberikan hari Senin 13/5 jam 16.30 R. A.108,twitter.com/i/web/status/1126732569184063488,ECMU,Manajemen Treasuri,Maria Ulpa,Senin 13/5,16.30,A.108
805,2019-05-10 02:41:37,ECIE PKPI dosen Fenny Rosmanita kuliah pengganti akan diberikan hari Selasa 14/5 jam 11.00 R. B.104,twitter.com/i/web/status/1126678651833962498,ECIE,PKPI,Fenny Rosmanita,Selasa 14/5,11.00,B.104
806,2019-05-10 02:40:32,ECFE Koperasi dosen Emy Nurmayanti Kuliah Hari Jum'at10/5 DITIADAKAN Diganti Hari Jum'at17/5 jam 14.00 Ruang A.208,twitter.com/i/web/status/1126678378126274560,ECFE,Koperasi,Emy Nurmayanti,Jum'at10/5 DITIADAKAN Diganti,,
807,2019-05-10 02:31:47,ECEU Makroekonomi 1 dosen Shauqie Azar kuliah pengganti akan diberikan hari Senin 13/5 jam 09.00 R. A.112,twitter.com/i/web/status/1126676177026830336,ECEU,Makroekonomi 1,Shauqie Azar,Senin 13/5,09.00,A.112
808,2019-05-10 02:29:04,ECIE Akuntansi Islam dosen Wasilah kuliah pengganti akan diberikan hari Senin 13/5 jam 14.00 R. A.102,twitter.com/i/web/status/1126675490582884352,ECIE,Akuntansi Islam,Wasilah,Senin 13/5,14.00,A.102
809,2019-05-10 02:12:10,ECMU Bisnis Ekonomi Indonesia C dosen Fandis Ekyawan kuliah pengganti akan diberikan hari Rabu 15/5 jam 11.00 R. A.209,twitter.com/i/web/status/1126671237051060224,ECMU,Bisnis Ekonomi Indonesia C,Fandis Ekyawan,Rabu 15/5,11.00,A.209
810,2019-05-10 02:10:58,Sistem Ekonomi Islam dosen Jossy P. Moeis kuliah pengganti akan diberikan hari Selasa 14/5 jam 16.30 R. B.111,twitter.com/i/web/status/1126670937217089536,,Ekonomi Islam,Jossy P. Moeis,Selasa 14/5,16.30,B.111
811,2019-05-10 02:10:06,ECMU Bisnis Ekonomi Indonesia F amp C dosen Ainul Huda kuliah pengganti akan diberikan hari Rabu 15/5 jam 08.00 R. A.302,twitter.com/i/web/status/1126670717875920896,ECMU,Bisnis Ekonomi Indonesia F  C,Ainul Huda,Rabu 15/5,08.00,A.302
812,2019-05-10 02:04:16,ECAU Akuntansi Manajemen dosen Dwi Hartanti kuliah pengganti akan diberikan hari Rabu 15/5 jam 11.00 R. A.203,twitter.com/i/web/status/1126669251107069952,ECAU,Akuntansi Manajemen,Dwi Hartanti,Rabu 15/5,11.00,A.203
813,2019-05-10 01:57:44,ECAU Big Data dosen Annisa kuliah pengganti akan diberikan hari Jumat 10/5 jam 10.30 R. A.104,twitter.com/i/web/status/1126667608269320192,ECAU,Big Data,Annisa,Jumat 10/5,10.30,A.104
